대표티켓번호,판매순번,주문상태,판매일,상품명,이용일시,장소명,총매수,최종정상매수,주문자명,휴대폰번호,금액,발권상태,회원여부,판매처,주문일시,공연ID,장르1,회원키
9000000000021,9000000000022,정상,20210105,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Avery Parker 00008,000-0002-2669,70000,Y,N,GS칼텍스 예울마루(call),20210105145156,210114_01,클래식,
9000000000023,9000000000024,정상,20201229,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Avery Parker 00008,000-0002-2670,35000,Y,N,GS칼텍스 예울마루(call),20201229134334,210114_01,클래식,
9000000000025,9000000000026,정상,20201229,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,13,13,Avery Parker 00008,00000022671,455000,Y,N,GS칼텍스 예울마루(call),20201229130524,210114_01,클래식,
9000000000027,9000000000028,정상,20210112,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Morgan Parker 00009,000-0002-2672,27000,Y,Y,GS칼텍스 예울마루(mobile),20210112231016,210114_01,클래식,
9000000000029,9000000000030,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Morgan Parker 00009,000-0002-2673,85000,Y,Y,GS칼텍스 예울마루(web),20201217143133,210114_01,클래식,00000002026
9000000000031,9000000000032,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Morgan Parker 00009,00000022674,42500,Y,Y,티켓어플 아이폰,20201217140333,210114_01,클래식,00000001745
9000000000033,9000000000034,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Jordan Parker 00010,000-0002-2675,85000,Y,Y,GS칼텍스 예울마루(mobile),20201217160809,210114_01,클래식,
9000000000035,9000000000036,정상,20201221,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,4,4,Riley Parker 00011,00000022676,150000,Y,Y,티켓모바일웹,20201221210834,210114_01,클래식,00000007507
9000000000037,9000000000038,정상,20210113,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Taylor Parker 00012,000-0002-2677,36000,Y,Y,GS칼텍스 예울마루(mobile),20210113092907,210114_01,클래식,00000018523
9000000000039,9000000000040,정상,20201219,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Casey Parker 00013,000-0002-2678,42500,Y,Y,GS칼텍스 예울마루(web),20201219160618,210114_01,클래식,00000011930
9000000000041,9000000000042,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Cameron Parker 00014,000-0002-2679,90000,Y,Y,GS칼텍스 예울마루(web),20201217151010,210114_01,클래식,
9000000000043,9000000000044,정상,20210112,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Rowan Parker 00015,000-0002-2680,36000,Y,Y,GS칼텍스 예울마루(mobile),20210112231608,210114_01,클래식,
9000000000045,9000000000046,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Avery Reed 00016,000-0002-2681,85000,Y,Y,GS칼텍스 예울마루(web),20201217154853,210114_01,클래식,00000004347
9000000000047,9000000000048,정상,20210104,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Morgan Reed 00017,000-0002-2682,72000,Y,Y,GS칼텍스 예울마루(mobile),20210104220114,210114_01,클래식,
9000000000049,9000000000050,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Morgan Reed 00017,000-0002-2683,85000,Y,Y,GS칼텍스 예울마루(web),20201217140128,210114_01,클래식,00000010824
9000000000051,9000000000052,정상,20210107,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Jordan Reed 00018,000-0002-2684,50000,Y,Y,Web,20210107133819,210114_01,클래식,00000012729
9000000000053,9000000000054,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,4,4,Riley Reed 00019,000-0002-2685,150000,Y,Y,GS칼텍스 예울마루(web),20201217140238,210114_01,클래식,
9000000000055,9000000000056,정상,20201220,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Taylor Reed 00020,000-0002-2686,42500,Y,Y,GS칼텍스 예울마루(web),20201220161954,210114_01,클래식,00000007155
9000000000057,9000000000058,정상,20201223,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Casey Reed 00021,00000022687,68000,Y,Y,티켓어플 아이폰,20201223160357,210114_01,클래식,00000001275
9000000000059,9000000000060,정상,20210107,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Cameron Reed 00022,000-0002-2688,45000,Y,Y,GS칼텍스 예울마루(web),20210107115902,210114_01,클래식,
9000000000061,9000000000062,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,7,7,Cameron Reed 00022,000-0002-2689,262500,Y,Y,GS칼텍스 예울마루(mobile),20201217154626,210114_01,클래식,00000009667
9000000000063,9000000000064,정상,20210103,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Rowan Reed 00023,00000022690,40000,Y,Y,티켓모바일웹,20210103021122,210114_01,클래식,
9000000000065,9000000000066,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Rowan Reed 00023,000-0002-2691,42500,Y,Y,GS칼텍스 예울마루(web),20201217142232,210114_01,클래식,
9000000000067,9000000000068,정상,20210112,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Avery Hayes 00024,00000022692,30000,Y,Y,티켓어플 안드로이드,20210112172345,210114_01,클래식,
9000000000069,9000000000070,정상,20210114,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Morgan Hayes 00025,**,40000,Y,N,GS칼텍스 예울마루,20210114174556,210114_01,클래식,
9000000000071,9000000000072,정상,20210114,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Morgan Hayes 00025,**,40000,Y,N,GS칼텍스 예울마루,20210114133941,210114_01,클래식,
9000000000073,9000000000074,정상,20210114,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Morgan Hayes 00025,**,80000,Y,N,GS칼텍스 예울마루,20210114102633,210114_01,클래식,
9000000000075,9000000000076,정상,20210106,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Morgan Hayes 00025,000-0002-2693,54000,Y,Y,GS칼텍스 예울마루(mobile),20210106001433,210114_01,클래식,
9000000000077,9000000000078,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,4,4,Jordan Hayes 00026,000-0002-2694,150000,Y,Y,GS칼텍스 예울마루(mobile),20201217140222,210114_01,클래식,00000007004
9000000000079,9000000000080,정상,20210107,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Riley Hayes 00027,000-0002-2695,72000,Y,Y,GS칼텍스 예울마루(mobile),20210107114031,210114_01,클래식,
9000000000081,9000000000082,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,4,4,Taylor Hayes 00028,000-0002-2696,150000,Y,Y,GS칼텍스 예울마루(web),20201217140316,210114_01,클래식,00000001833
9000000000083,9000000000084,정상,20201219,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Casey Hayes 00029,000-0002-2697,90000,Y,Y,GS칼텍스 예울마루(mobile),20201219163057,210114_01,클래식,00000020538
9000000000085,9000000000086,정상,20201224,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Cameron Hayes 00030,000-0002-2698,42500,Y,Y,GS칼텍스 예울마루(mobile),20201224175448,210114_01,클래식,
9000000000087,9000000000088,정상,20201224,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Cameron Hayes 00030,000-0002-2698,42500,Y,Y,GS칼텍스 예울마루(mobile),20201224175247,210114_01,클래식,
9000000000089,9000000000090,정상,20210111,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Rowan Hayes 00031,00000022699,100000,Y,Y,티켓모바일웹,20210111175803,210114_01,클래식,
9000000000091,9000000000092,정상,20210111,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Rowan Hayes 00031,00000022699,50000,Y,Y,티켓모바일웹,20210111175710,210114_01,클래식,
9000000000093,9000000000094,정상,20210105,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Avery Bennett 00032,000-0002-2700,70000,Y,N,GS칼텍스 예울마루(call),20210105145257,210114_01,클래식,
9000000000095,9000000000096,정상,20210112,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Morgan Bennett 00033,000-0002-2701,36000,Y,Y,GS칼텍스 예울마루(web),20210112105439,210114_01,클래식,
9000000000097,9000000000098,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Jordan Bennett 00034,000-0002-2702,85000,Y,Y,GS칼텍스 예울마루(mobile),20201217140138,210114_01,클래식,
9000000000099,9000000000100,정상,20210110,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Riley Bennett 00035,000-0002-2703,90000,Y,Y,GS칼텍스 예울마루(mobile),20210110111658,210114_01,클래식,
9000000000101,9000000000102,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Riley Bennett 00035,000-0002-2704,90000,Y,Y,GS칼텍스 예울마루(mobile),20201217141206,210114_01,클래식,00000010569
9000000000103,9000000000104,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,3,3,Taylor Bennett 00036,000-0002-2705,130000,Y,Y,GS칼텍스 예울마루(web),20201217140316,210114_01,클래식,00000022240
9000000000105,9000000000106,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Casey Bennett 00037,000-0002-2687,90000,Y,Y,GS칼텍스 예울마루(mobile),20201217154625,210114_01,클래식,
9000000000107,9000000000108,정상,20201225,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Cameron Bennett 00038,000-0002-2706,42500,Y,Y,GS칼텍스 예울마루(mobile),20201225194026,210114_01,클래식,00000012937
9000000000109,9000000000110,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Cameron Bennett 00038,000-0002-2707,42500,Y,Y,GS칼텍스 예울마루(web),20201217143830,210114_01,클래식,00000004766
9000000000111,9000000000112,정상,20201227,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Rowan Bennett 00039,000-0002-2708,85000,Y,Y,GS칼텍스 예울마루(mobile),20201227100730,210114_01,클래식,00000018730
9000000000113,9000000000114,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,3,3,Avery Ellis 00040,000-0002-2709,130000,Y,Y,GS칼텍스 예울마루(mobile),20201217140208,210114_01,클래식,00000011395
9000000000115,9000000000116,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,4,4,Morgan Ellis 00041,000-0002-2710,150000,Y,Y,GS칼텍스 예울마루(web),20201217141334,210114_01,클래식,00000002032
9000000000117,9000000000118,정상,20201226,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Jordan Ellis 00042,000-0002-2711,42500,Y,Y,GS칼텍스 예울마루(mobile),20201226095819,210114_01,클래식,00000002796
9000000000119,9000000000120,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,4,4,Riley Ellis 00043,000-0002-2712,150000,Y,Y,GS칼텍스 예울마루(mobile),20201217140424,210114_01,클래식,00000008458
9000000000121,9000000000122,정상,20210106,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,3,3,Taylor Ellis 00044,00000022713,120000,Y,N,GS칼텍스 예울마루(call),20210106155132,210114_01,클래식,
9000000000123,9000000000124,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Casey Ellis 00045,000-0002-2714,85000,Y,Y,GS칼텍스 예울마루(web),20201217142151,210114_01,클래식,00000020844
9000000000125,9000000000126,정상,20210112,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Cameron Ellis 00046,000-0002-2715,27000,Y,Y,GS칼텍스 예울마루(mobile),20210112222013,210114_01,클래식,
9000000000127,9000000000128,정상,20210110,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Rowan Ellis 00047,00000022716,100000,Y,Y,티켓모바일웹,20210110195752,210114_01,클래식,00000022566
9000000000129,9000000000130,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Avery Foster 00048,000-0002-2717,42500,Y,Y,GS칼텍스 예울마루(mobile),20201217152224,210114_01,클래식,
9000000000131,9000000000132,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Avery Foster 00048,000-0002-2717,85000,Y,Y,GS칼텍스 예울마루(mobile),20201217145004,210114_01,클래식,
9000000000133,9000000000134,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Morgan Foster 00049,000-0002-2718,42500,Y,Y,GS칼텍스 예울마루(mobile),20201217170613,210114_01,클래식,
9000000000135,9000000000136,정상,20210108,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Jordan Foster 00050,000-0002-2719,72000,Y,Y,GS칼텍스 예울마루(mobile),20210108194514,210114_01,클래식,00000020354
9000000000137,9000000000138,정상,20210109,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Riley Foster 00051,000-0002-2720,90000,Y,Y,GS칼텍스 예울마루(web),20210109134928,210114_01,클래식,00000009735
9000000000139,9000000000140,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Taylor Foster 00052,000-0002-2721,50000,Y,Y,GS칼텍스 예울마루(web),20201217160722,210114_01,클래식,00000010067
9000000000141,9000000000142,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Casey Foster 00053,000-0002-2722,85000,Y,Y,GS칼텍스 예울마루(mobile),20201217154112,210114_01,클래식,
9000000000143,9000000000144,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Cameron Foster 00054,000-0002-2723,15000,Y,Y,GS칼텍스 예울마루(mobile),20201217144958,210114_01,클래식,00000017019
9000000000145,9000000000146,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Cameron Foster 00054,000-0002-2723,27000,Y,Y,GS칼텍스 예울마루(mobile),20201217143651,210114_01,클래식,00000017019
9000000000147,9000000000148,정상,20210113,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Rowan Foster 00055,00000022724,50000,Y,Y,티켓모바일웹,20210113061510,210114_01,클래식,
9000000000149,9000000000150,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Avery Lane 00056,000-0002-2725,45000,Y,Y,GS칼텍스 예울마루(mobile),20201217140624,210114_01,클래식,00000022172
9000000000151,9000000000152,정상,20201228,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Morgan Lane 00057,000-0002-2726,25500,Y,Y,GS칼텍스 예울마루(web),20201228133803,210114_01,클래식,
9000000000153,9000000000154,정상,20201228,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Morgan Lane 00057,000-0002-2726,25500,Y,Y,GS칼텍스 예울마루(web),20201228133540,210114_01,클래식,
9000000000155,9000000000156,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Morgan Lane 00057,000-0002-2727,42500,Y,Y,GS칼텍스 예울마루(web),20201217140137,210114_01,클래식,00000019288
9000000000157,9000000000158,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Jordan Lane 00058,000-0002-2728,85000,Y,Y,GS칼텍스 예울마루(web),20201217140245,210114_01,클래식,00000004869
9000000000159,9000000000160,정상,20210105,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Riley Lane 00059,000-0001-8696,100000,Y,N,GS칼텍스 예울마루(call),20210105102701,210114_01,클래식,
9000000000161,9000000000162,정상,20210101,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Taylor Lane 00060,000-0002-2729,72000,Y,Y,GS칼텍스 예울마루(mobile),20210101221445,210114_01,클래식,00000019199
9000000000163,9000000000164,부분취소,20210105,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,3,1,Casey Lane 00061,000-0002-2730,36000,Y,Y,GS칼텍스 예울마루(mobile),20210105092141,210114_01,클래식,00000019619
9000000000165,9000000000166,정상,20210108,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Cameron Lane 00062,00000022731,50000,Y,Y,티켓모바일웹,20210108093933,210114_01,클래식,
9000000000167,9000000000168,정상,20201216,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,10,10,Rowan Lane 00063,**,0,Y,N,GS칼텍스 예울마루,20201216141832,210114_01,클래식,
9000000000169,9000000000170,정상,20210114,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,4,4,Avery Brooks 00064,**,150000,Y,N,GS칼텍스 예울마루,20210114183306,210114_01,클래식,
9000000000171,9000000000172,정상,20210110,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Morgan Brooks 00065,00000022732,30000,Y,Y,(주)인터파크 통합app,20210110222041,210114_01,클래식,
9000000000173,9000000000174,정상,20201228,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Jordan Brooks 00066,00000022733,68000,Y,Y,(주)인터파크 통합app,20201228085714,210114_01,클래식,
9000000000175,9000000000176,정상,20201229,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Riley Brooks 00067,000-0002-2734,35000,Y,N,GS칼텍스 예울마루(call),20201229131247,210114_01,클래식,
9000000000177,9000000000178,정상,20210113,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Taylor Brooks 00068,000-0002-2735,45000,Y,Y,GS칼텍스 예울마루(web),20210113063727,210114_01,클래식,
9000000000179,9000000000180,정상,20210112,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Casey Brooks 00069,000-0002-2736,35000,Y,N,GS칼텍스 예울마루(call),20210112132520,210114_01,클래식,
9000000000181,9000000000182,정상,20210112,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Casey Brooks 00069,000-0002-2737,70000,Y,N,GS칼텍스 예울마루(call),20210112130713,210114_01,클래식,
9000000000183,9000000000184,정상,20201231,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Casey Brooks 00069,000-0002-2738,35000,Y,N,GS칼텍스 예울마루(call),20201231111042,210114_01,클래식,
9000000000185,9000000000186,정상,20210104,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,4,4,Cameron Brooks 00070,00000022739,120000,Y,Y,티켓어플 아이폰,20210104174121,210114_01,클래식,00000008521
9000000000187,9000000000188,정상,20201219,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Rowan Brooks 00071,000-0002-2740,85000,Y,Y,GS칼텍스 예울마루(mobile),20201219014113,210114_01,클래식,00000000358
9000000000189,9000000000190,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Avery Parker 00072,000-0002-2741,90000,Y,Y,GS칼텍스 예울마루(web),20201217140246,210114_01,클래식,00000003096
9000000000191,9000000000192,정상,20210109,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,3,3,Morgan Parker 00073,00000022742,120000,Y,Y,티켓모바일웹,20210109213244,210114_01,클래식,
9000000000193,9000000000194,정상,20210111,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Jordan Parker 00074,00000022743,50000,Y,Y,(주)인터파크 통합app,20210111142008,210114_01,클래식,
9000000000195,9000000000196,정상,20210113,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Riley Parker 00075,000-0002-2744,90000,Y,Y,GS칼텍스 예울마루(mobile),20210113132610,210114_01,클래식,
9000000000197,9000000000198,정상,20210113,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Taylor Parker 00076,000-0002-2745,54000,Y,Y,GS칼텍스 예울마루(web),20210113105444,210114_01,클래식,
9000000000199,9000000000200,정상,20201217,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Taylor Parker 00076,000-0002-2746,85000,Y,Y,GS칼텍스 예울마루(web),20201217141527,210114_01,클래식,
9000000000201,9000000000202,정상,20210112,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,2,2,Casey Parker 00077,000-0002-2747,100000,Y,Y,GS칼텍스 예울마루(mobile),20210112130033,210114_01,클래식,
9000000000203,9000000000204,정상,20201227,2021 GS칼텍스 예울마루 신년음악회 - 여수,20210114: 1930,GS칼텍스 예울마루 대극장,1,1,Cameron Parker 00078,000-0002-2748,42500,Y,Y,GS칼텍스 예울마루(mobile),20201227074746,210114_01,클래식,00000000307
